status,Name,creator,date,page_number,Type,Created time,Genres,URL
In-Progress,Introduction to Algorithms,"Charles E. Leiserson, Clifford Stein, Ron Rivest, Thomas H. Cormen",,1312,,"July 20, 2023 12:39 AM",Code,https://dl.ebooksworld.ir/books/Introduction.to.Algorithms.4th.Leiserson.Stein.Rivest.Cormen.MIT.Press.9780262046305.EBooksWorld.ir.pdf
In-Progress,My Gita,Devdutt Pattanaik,,299,,"June 23, 2023 3:47 AM",Religious,https://glose.com/book/-my-gita
Planned,A New Kind of Science,Stephen Wolfram,,,,"June 2, 2023 9:28 AM",,
Planned,The Annotated Turing: A Guided Tour Through Alan Turing's Historic Paper on Computability and the Turing Machine,Charles Petzold,,,,"June 2, 2023 8:51 AM",,
Planned,Proof and the Art of Mathematics,Joel David Hamkins,,,,"May 27, 2023 7:55 AM",,
Planned,The Madness of Crowds,Douglas Murray,,,,"May 25, 2023 3:23 PM",,
Dropped,What's our Problem?,Tim Urban,,,,"May 25, 2023 5:51 AM",,
Dropped,An Open Letter To Open Minded Progressives,Mencius Moldbug,"January 20, 2023",,,"May 25, 2023 5:49 AM",,
Dropped,Algorithms to Live By: The Computer Science of Human Decisions,"Brian Christian, Tom Griffiths","November 10, 2022",,,"May 25, 2023 5:46 AM",,
Dropped,Find Your Why: A Practical Guide to Discovering Purpose for You and Your Team,Simon Sinek,"April 11, 2022",256,,"May 25, 2023 1:53 AM",,
Dropped,Attack on Titan: Before the Fall,Ryō Suzukaze,"October 27, 2022",290,,"May 25, 2023 1:53 AM",,
Dropped,Wait But Why Year One: We finally figured out how to put a blog onto an e-reader,Tim Urban,"May 8, 2023",1129,,"May 25, 2023 1:53 AM",,
Dropped,Give and Take: A Revolutionary Approach to Success,Adam M. Grant,"April 11, 2022",320,,"May 25, 2023 1:53 AM",,
Planned,小説 進撃の巨人 LOST GIRLS [Shingeki no Kyojin: Lost Girls] [Attack on Titan: Lost Girls Light Novel],"Hajime Isayama, Hiroshi Seko",,256,Light Novel‎,"May 25, 2023 1:52 AM",,
Planned,"転生したらスライムだった件 1 [Tensei shitara Slime Datta Ken [Light Novel] 1] (That Time I Got Reincarnated as a Slime [Light Novel], #1)",Fuse,,306,Light Novel‎,"May 25, 2023 1:52 AM",,
Planned,Three Days of Happiness,Sugaru Miaki,,223,Light Novel‎,"May 25, 2023 1:52 AM",,
Planned,"86—EIGHTY-SIX, Vol. 1",Asato Asato,,256,Light Novel‎,"May 25, 2023 1:52 AM",,
Planned,The Design of Everyday Things,Donald A. Norman,,240,,"May 25, 2023 1:52 AM",,
Planned,The Fountainhead,Ayn Rand,,704,,"May 25, 2023 1:52 AM",,
Planned,The User Illusion: Cutting Consciousness Down to Size,Tor Norretranders,,480,,"May 25, 2023 1:52 AM",,
Planned,How a Realist Hero Rebuilt the Kingdom: Volume 1,Dojyomaru,,238,Light Novel‎,"May 25, 2023 1:52 AM",,
