status,Name,date,creator,Type
Completed,Gyo,"April 21, 2023",Junji Ito,Manga
In-Progress,Chainsaw Man,"April 9, 2023",Tatsuki Fujimoto,Manga
Completed,"21st Century Boys, Band 1 (21st Century Boys, #1)","March 29, 2023",Naoki Urasawa,
Completed,Tomie,"November 23, 2022",Junji Ito,Manga
Completed,Tokyo Revengers,"November 16, 2022",Ken Wakui,Manga
Completed,Fragments of Horror,"November 15, 2022",Junji Ito,Manga
Completed,Dissolving Classroom,"November 15, 2022",Junji Ito,Manga
Completed,Voices in the Dark,"November 13, 2022",Junji Ito,Manga
Completed,A Diary of Embellished Patches,"November 13, 2022",Junji Ito,Manga
Completed,Ito Junji's Dog Diary,"November 12, 2022",Junji Ito,Manga
Completed,Junji Ito's Cat Diary: Yon & Mu Collector's Edition,"November 12, 2022",Junji Ito,Manga
Completed,Mimi’s Ghost Stories,"November 9, 2022",Junji Ito,Manga
Completed,New Voices in the Dark,"November 8, 2022",Junji Ito,Manga
Completed,Remina,"November 6, 2022",Junji Ito,Manga
Completed,Gyo,"November 5, 2022",Junji Ito,Manga
Completed,Mountain of Gods: Precipice of the Unknown,"November 5, 2022",Junji Ito,One-shot
Completed,Summer time graduation vacation,"November 5, 2022",Junji Ito,One-shot
Completed,Ghost Heights Management Association,"October 29, 2022",Junji Ito,One-shot
Completed,Ribs Woman,"October 29, 2022",Junji Ito,One-shot
Completed,Mob Psycho 100,"October 29, 2022",ONE,Manga
Completed,Layers of Fear,"October 28, 2022",Junji Ito,One-shot
Completed,Phantom mansion,"October 28, 2022",Junji Ito,One-shot
Completed,Look Back,"October 27, 2022",Tatsuki Fujimoto,One-shot
Completed,Uzumaki,"October 27, 2022",Junji Ito,Manga
Completed,Demon Slayer,"October 27, 2022",Koyoharu Gotouge,Manga
Completed,Little Sister’s Elder Sister,"October 27, 2022",Tatsuki Fujimoto,One-shot
Completed,Attack on Titan,"October 27, 2022",Hajime Isayama,Manga
Completed,"Goodbye, Eri","October 27, 2022",Tatsuki Fujimoto,One-shot
Completed,Yogen No Nayuta,"October 27, 2022",Tatsuki Fujimoto,One-shot
Completed,The Liminal Zone,"October 27, 2022",Junji Ito,Manga
Completed,Black Paradox,"October 27, 2022",Junji Ito,Manga
Completed,Bleach,"October 27, 2022",Tite Kubo,Manga
Completed,Fire Punch,"October 27, 2022",Tatsuki Fujimoto,Manga
Completed,Niwa ni wa Niwa Niwatori ga ita,"October 27, 2022",Tatsuki Fujimoto,One-shot
Completed,Shikaku,"October 27, 2022",Tatsuki Fujimoto,One-shot
Completed,Dr. Stone,"October 27, 2022",Riichiro Inagaki,Manga
In-Progress,Spy×Family,"October 27, 2022",Tatsuya Endo,Manga
Dropped,Kaiju No. 8,"October 17, 2022",Naoya Matsumoto,Web Comic
In-Progress,Ranking of Kings,"October 17, 2022",Sosuke Toka,Web Comic
In-Progress,One-Punch Man,"October 17, 2022",ONE,Manga
In-Progress,Juujika no rokunin,"October 15, 2022",Shiryu Nakatake,Manga
Completed,Homunculus,"October 14, 2022",Hideo Yamamoto,Manga
In-Progress,One Piece,"September 27, 2022",Eiichiro Oda,Manga
In-Progress,Gachiakuta,"September 27, 2022",Kei Urana,Manga
Dropped,Berserk,"July 25, 2022",Kentaro Miura,Manga
Dropped,Jujutsu Kaisen,"July 25, 2022",Gege Akutami,Manga
Dropped,Blue Lock,"July 25, 2022",Muneyuki Kaneshiro,Manga
Dropped,Chōjin X,"July 25, 2022",Sui Ishida,Manga
Dropped,Vinland Saga,"July 25, 2022",Makoto Yukimura,Manga
Dropped,MASHLE,"July 25, 2022",Hajime Komoto,Manga
Dropped,Ghost Reaper Girl,"July 25, 2022",Akissa Saiké,Manga
In-Progress,Call of the Night,"July 25, 2022",Kotoyama,Manga
In-Progress,Black Clover,"July 25, 2022",Yūki Tabata,Manga
In-Progress,My Hero Academia,"July 25, 2022",Kohei Horikoshi,Manga
In-Progress,My Dress-Up Darling,"July 25, 2022",Shinichi Fukuda,Manga
Planned,Neon Genesis Evangelion,,Yoshiyuki Sadamoto,Manga
Planned,Soul Eater,,Atsushi Ohkubo,Manga
Planned,Blue Period,,Tsubasa Yamaguchi,Manga
Planned,Vagabond,,Takehiko Inoue,Manga
Planned,Monster,,Naoki Urasawa,Manga
Planned,"Haikyū!! ",,Haruichi Furudate,Manga
Planned,Hunter x Hunter,,Yoshihiro Togashi,Manga
Planned,Dan Da Dan,,Yukinobu Tatsu,Manga
Planned,Kingdom,,Hara Yasuhisa,Manga
Planned,Beyond Journey’s End,,Kanehito Yamada,Manga
Planned,Fist of the North Star,,Buronson,Manga
Planned,Eko Eko Azarak Reborn,,山田J太,Manga
Planned,Blame!,,Tsutomu Nihei,Manga
Planned,BAKI,,Keisuke Itagaki,Manga
Planned,Goodnight Punpun Omnibus,,Inio Asano,Manga
Planned,Horimiya,,Hero,Manga
Planned,Dorohedoro,,Q. Hayashida,Manga
Planned,GTO: Great Teacher Onizuka,,Tohru Fujisawa,Manga
Planned,Record of Ragnarok,,Azychika,Manga
Planned,SAKAMOTO DAYS,,Yuto Suzuki,Manga
Planned,Left Hand of God-Right Hand of the Devil: The Eroded Scissors,,Kazuo Umezu,Manga
Planned,Slam Dunk,,Takehiko Inoue,Manga
Planned,Rooster Fighter,,Shu Sakuratani,Manga
Planned,Fruits Basket,,Natsuki Takaya,Manga
Planned,Beastars,,Paru Itagaki,Manga
