status,Name,date,Type,Genres
Planned,Redline,,Anime,
Planned,Gekijouban Jujutsu Kaisen 0,,Anime,
Completed,Toki o Kakeru Shoujo,"March 26, 2023",Anime,
Completed,Finding Dory,"October 9, 2022",Animation,
Completed,Kung Fu Panda 2,"October 9, 2022",Animation,
Completed,Kung Fu Panda,"October 9, 2022",Animation,
Completed,Finding Nemo,"October 9, 2022",Animation,
Completed,Incredibles 2,"October 9, 2022",Animation,
Completed,Cloudy with a Chance of Meatballs,"October 9, 2022",Animation,
Completed,Cars 2,"October 9, 2022",Animation,
Completed,"Monsters, Inc.","October 9, 2022",Animation,
Completed,Coco,"October 9, 2022",Animation,
Completed,The Lego Movie,"October 9, 2022",Animation,
Completed,Moana,"October 9, 2022",Animation,
Completed,Zootopia,"October 9, 2022",Animation,
Completed,WALL·E,"October 9, 2022",Animation,
Completed,Toy Story 4,"October 9, 2022",Animation,
Completed,The Lego Movie 2: The Second Part,"October 9, 2022",Animation,
Completed,Raya and the Last Dragon,"October 9, 2022",Animation,
Completed,The Lego Batman Movie,"October 9, 2022",Animation,
Completed,Inside Out,"October 9, 2022",Animation,
Completed,Kung Fu Panda 3,"October 9, 2022",Animation,
Completed,Soul,"October 9, 2022",Animation,
Completed,Brave,"October 9, 2022",Animation,
Completed,Toy Story,"October 9, 2022",Animation,
Completed,Onward,"October 9, 2022",Animation,
Completed,The Incredibles,"October 9, 2022",Animation,
Completed,Toy Story 3,"October 9, 2022",Animation,
Completed,Ratatouille,"October 9, 2022",Animation,
Completed,Monsters University,"October 9, 2022",Animation,
Completed,Tangled,"October 9, 2022",Animation,
Completed,Frozen,"October 9, 2022",Animation,
Completed,Ralph Breaks the Internet,"October 9, 2022",Animation,
Completed,Wreck-It Ralph,"October 9, 2022",Animation,
Completed,Up,"October 9, 2022",Animation,
Completed,Toy Story 2,"October 9, 2022",Animation,
Completed,Cars,"October 9, 2022",Animation,
Completed,Cars 3,"October 9, 2022",Animation,
Completed,Ryuu to Sobakasu no Hime,"August 20, 2022",Anime,
Completed,Josee to Tora to Sakana-tachi,"August 11, 2022",Anime,
Completed,Dunkirk,"August 11, 2022","Hollywood ",
Completed,1917,"August 11, 2022","Hollywood ",
Completed,The Batman,"August 11, 2022","Hollywood ",Superhero
